,BLKID,TRACTID,BLKGRPID,PUMA,COUNTYID,REGION
0,260937442002006,26093744200,260937442002,2800,26093,2
1,260937321001013,26093732100,260937321001,2800,26093,2
2,260937321001025,26093732100,260937321001,2800,26093,2
3,260937321001005,26093732100,260937321001,2800,26093,2
4,260937433002013,26093743300,260937433002,2800,26093,2
5,260937433001000,26093743300,260937433001,2800,26093,2
6,260937434001023,26093743400,260937434001,2800,26093,2
7,260937442004000,26093744200,260937442004,2800,26093,2
8,260937321001024,26093732100,260937321001,2800,26093,2
9,260937446001013,26093744600,260937446001,2800,26093,2
10,260937442002002,26093744200,260937442002,2800,26093,2
11,260937442004001,26093744200,260937442004,2800,26093,2
12,260937442004019,26093744200,260937442004,2800,26093,2
13,260937442004018,26093744200,260937442004,2800,26093,2
14,260937331001011,26093733100,260937331001,2800,26093,2
15,260937442004022,26093744200,260937442004,2800,26093,2
16,260937433001013,26093743300,260937433001,2800,26093,2
17,260937321001044,26093732100,260937321001,2800,26093,2
18,260937442004027,26093744200,260937442004,2800,26093,2
19,260937306002002,26093730600,260937306002,2800,26093,2
20,260937425002016,26093742500,260937425002,2800,26093,2
21,260937301021015,26093730102,260937301021,2800,26093,2
22,260937301021016,26093730102,260937301021,2800,26093,2
23,260937434001007,26093743400,260937434001,2800,26093,2
24,260937434001006,26093743400,260937434001,2800,26093,2
25,260937306002000,26093730600,260937306002,2800,26093,2
26,260937306002004,26093730600,260937306002,2800,26093,2
27,260937306002006,26093730600,260937306002,2800,26093,2
28,260937306002009,26093730600,260937306002,2800,26093,2
29,260937331001006,26093733100,260937331001,2800,26093,2
30,260937301021001,26093730102,260937301021,2800,26093,2
31,260937211002015,26093721100,260937211002,2800,26093,2
32,260937436002015,26093743600,260937436002,2800,26093,2
33,260937251013031,26093725101,260937251013,2800,26093,2
34,260937442001046,26093744200,260937442001,2800,26093,2
35,260937251013030,26093725101,260937251013,2800,26093,2
36,260937448001030,26093744800,260937448001,2800,26093,2
37,260937448001031,26093744800,260937448001,2800,26093,2
38,260937449002002,26093744900,260937449002,2800,26093,2
39,260937126012006,26093712601,260937126012,2800,26093,2
40,260937133001013,26093713300,260937133001,2800,26093,2
41,260937126012014,26093712601,260937126012,2800,26093,2
42,260937126012015,26093712601,260937126012,2800,26093,2
43,260937424033010,26093742403,260937424033,2800,26093,2
44,260937126012019,26093712601,260937126012,2800,26093,2
45,260937126012020,26093712601,260937126012,2800,26093,2
46,260937201001018,26093720100,260937201001,2800,26093,2
47,260937131003015,26093713100,260937131003,2800,26093,2
48,260937251012025,26093725101,260937251012,2800,26093,2
49,260937448001015,26093744800,260937448001,2800,26093,2
50,260937448001027,26093744800,260937448001,2800,26093,2
51,260937448001020,26093744800,260937448001,2800,26093,2
52,260937448001021,26093744800,260937448001,2800,26093,2
53,260937448001028,26093744800,260937448001,2800,26093,2
54,260937251013048,26093725101,260937251013,2800,26093,2
55,260937448001005,26093744800,260937448001,2800,26093,2
56,260937251013008,26093725101,260937251013,2800,26093,2
57,260937101002004,26093710100,260937101002,2800,26093,2
58,260937105001005,26093710500,260937105001,2800,26093,2
59,260937251013013,26093725101,260937251013,2800,26093,2
60,260937101002005,26093710100,260937101002,2800,26093,2
61,260937101003008,26093710100,260937101003,2800,26093,2
62,260937105001007,26093710500,260937105001,2800,26093,2
63,260937251013039,26093725101,260937251013,2800,26093,2
64,260937101002001,26093710100,260937101002,2800,26093,2
65,260937101002000,26093710100,260937101002,2800,26093,2
66,260937101002002,26093710100,260937101002,2800,26093,2
67,260937424033012,26093742403,260937424033,2800,26093,2
68,260937101003009,26093710100,260937101003,2800,26093,2
69,260937251013036,26093725101,260937251013,2800,26093,2
70,260937424034006,26093742403,260937424034,2800,26093,2
71,260937101002009,26093710100,260937101002,2800,26093,2
72,260937408001002,26093740800,260937408001,2800,26093,2
73,260937442001023,26093744200,260937442001,2800,26093,2
74,260937101003005,26093710100,260937101003,2800,26093,2
75,260937101003006,26093710100,260937101003,2800,26093,2
76,260937101003007,26093710100,260937101003,2800,26093,2
77,260937131001013,26093713100,260937131001,2800,26093,2
78,260937131001014,26093713100,260937131001,2800,26093,2
79,260937126011000,26093712601,260937126011,2800,26093,2
80,260937121012014,26093712101,260937121012,2800,26093,2
81,260937121012001,26093712101,260937121012,2800,26093,2
82,260937121012007,26093712101,260937121012,2800,26093,2
83,260937121012006,26093712101,260937121012,2800,26093,2
84,260937446001008,26093744600,260937446001,2800,26093,2
85,260937446001005,26093744600,260937446001,2800,26093,2
86,260937135002009,26093713500,260937135002,2800,26093,2
87,260937126011007,26093712601,260937126011,2800,26093,2
88,260937126011009,26093712601,260937126011,2800,26093,2
89,260937126011001,26093712601,260937126011,2800,26093,2
90,260937211002095,26093721100,260937211002,2800,26093,2
91,260937434001008,26093743400,260937434001,2800,26093,2
92,260937448003002,26093744800,260937448003,2800,26093,2
93,260937135001001,26093713500,260937135001,2800,26093,2
94,260937135001005,26093713500,260937135001,2800,26093,2
95,260937135001007,26093713500,260937135001,2800,26093,2
96,260937135001004,26093713500,260937135001,2800,26093,2
97,260937336041013,26093733604,260937336041,2800,26093,2
98,260937336032010,26093733603,260937336032,2800,26093,2
99,260937406001007,26093740600,260937406001,2800,26093,2
100,260937433001011,26093743300,260937433001,2800,26093,2
101,260937449001007,26093744900,260937449001,2800,26093,2
102,260937449002000,26093744900,260937449002,2800,26093,2
103,260937438001037,26093743800,260937438001,2800,26093,2
104,260937221002002,26093722100,260937221002,2800,26093,2
105,260937201002020,26093720100,260937201002,2800,26093,2
106,260937240011040,26093724001,260937240011,2800,26093,2
107,260937436001016,26093743600,260937436001,2800,26093,2
108,260937321001021,26093732100,260937321001,2800,26093,2
109,260937301021009,26093730102,260937301021,2800,26093,2
110,260937301022012,26093730102,260937301022,2800,26093,2
111,260937406001000,26093740600,260937406001,2800,26093,2
112,260937311003007,26093731100,260937311003,2800,26093,2
113,260937301021007,26093730102,260937301021,2800,26093,2
114,260937301022019,26093730102,260937301022,2800,26093,2
115,260937311003008,26093731100,260937311003,2800,26093,2
116,260937425001003,26093742500,260937425001,2800,26093,2
117,260937311002005,26093731100,260937311002,2800,26093,2
118,260937425001007,26093742500,260937425001,2800,26093,2
119,260937301022025,26093730102,260937301022,2800,26093,2
120,260937425001005,26093742500,260937425001,2800,26093,2
121,260937425001010,26093742500,260937425001,2800,26093,2
122,260937406002009,26093740600,260937406002,2800,26093,2
123,260937311002006,26093731100,260937311002,2800,26093,2
124,260937301021011,26093730102,260937301021,2800,26093,2
125,260937402002007,26093740200,260937402002,2800,26093,2
126,260937301012014,26093730101,260937301012,2800,26093,2
127,260937301011012,26093730101,260937301011,2800,26093,2
128,260937407002008,26093740700,260937407002,2800,26093,2
129,260937407001022,26093740700,260937407001,2800,26093,2
130,260937311002007,26093731100,260937311002,2800,26093,2
131,260937402003000,26093740200,260937402003,2800,26093,2
132,260937407001007,26093740700,260937407001,2800,26093,2
133,260937405001001,26093740500,260937405001,2800,26093,2
134,260937211001032,26093721100,260937211001,2800,26093,2
135,260937211001031,26093721100,260937211001,2800,26093,2
136,260937211002052,26093721100,260937211002,2800,26093,2
137,260937331001016,26093733100,260937331001,2800,26093,2
138,260937336032002,26093733603,260937336032,2800,26093,2
139,260937336031026,26093733603,260937336031,2800,26093,2
140,260937336032013,26093733603,260937336032,2800,26093,2
141,260937336031015,26093733603,260937336031,2800,26093,2
142,260937336031020,26093733603,260937336031,2800,26093,2
143,260937336031037,26093733603,260937336031,2800,26093,2
144,260937336031023,26093733603,260937336031,2800,26093,2
145,260937121011006,26093712101,260937121011,2800,26093,2
146,260937336031022,26093733603,260937336031,2800,26093,2
147,260937336032014,26093733603,260937336032,2800,26093,2
148,260937336041008,26093733604,260937336041,2800,26093,2
149,260937336032007,26093733603,260937336032,2800,26093,2
150,260937336041001,26093733604,260937336041,2800,26093,2
151,260937251013004,26093725101,260937251013,2800,26093,2
152,260937336041007,26093733604,260937336041,2800,26093,2
153,260937311001023,26093731100,260937311001,2800,26093,2
154,260937321001002,26093732100,260937321001,2800,26093,2
155,260937311001025,26093731100,260937311001,2800,26093,2
156,260937306001016,26093730600,260937306001,2800,26093,2
157,260937331001005,26093733100,260937331001,2800,26093,2
158,260937306001012,26093730600,260937306001,2800,26093,2
159,260937306001013,26093730600,260937306001,2800,26093,2
160,260937331002001,26093733100,260937331002,2800,26093,2
161,260937131002001,26093713100,260937131002,2800,26093,2
162,260937436002013,26093743600,260937436002,2800,26093,2
163,260937442003013,26093744200,260937442003,2800,26093,2
164,260937442004029,26093744200,260937442004,2800,26093,2
165,260937437001005,26093743700,260937437001,2800,26093,2
166,260937436002006,26093743600,260937436002,2800,26093,2
167,260937447002004,26093744700,260937447002,2800,26093,2
168,260937447002010,26093744700,260937447002,2800,26093,2
169,260937336031008,26093733603,260937336031,2800,26093,2
170,260937447002020,26093744700,260937447002,2800,26093,2
171,260937438002008,26093743800,260937438002,2800,26093,2
172,260937448003008,26093744800,260937448003,2800,26093,2
173,260937447001010,26093744700,260937447001,2800,26093,2
174,260937447002026,26093744700,260937447002,2800,26093,2
175,260937447001009,26093744700,260937447001,2800,26093,2
176,260937336031039,26093733603,260937336031,2800,26093,2
177,260937447001019,26093744700,260937447001,2800,26093,2
178,260937321001046,26093732100,260937321001,2800,26093,2
179,260937336032008,26093733603,260937336032,2800,26093,2
180,260937321002028,26093732100,260937321002,2800,26093,2
181,260937438001009,26093743800,260937438001,2800,26093,2
182,260937437001018,26093743700,260937437001,2800,26093,2
183,260937223001022,26093722300,260937223001,2800,26093,2
184,260937223001023,26093722300,260937223001,2800,26093,2
185,260937223001024,26093722300,260937223001,2800,26093,2
186,260937223001028,26093722300,260937223001,2800,26093,2
187,260937223001029,26093722300,260937223001,2800,26093,2
188,260937223001011,26093722300,260937223001,2800,26093,2
189,260937223002012,26093722300,260937223002,2800,26093,2
190,260937223002011,26093722300,260937223002,2800,26093,2
191,260937223002025,26093722300,260937223002,2800,26093,2
192,260937110002032,26093711000,260937110002,2800,26093,2
193,260937221001027,26093722100,260937221001,2800,26093,2
194,260937221001026,26093722100,260937221001,2800,26093,2
195,260937223002017,26093722300,260937223002,2800,26093,2
196,260937223002023,26093722300,260937223002,2800,26093,2
197,260937223002021,26093722300,260937223002,2800,26093,2
198,260937221001030,26093722100,260937221001,2800,26093,2
199,260937240011001,26093724001,260937240011,2800,26093,2
200,260937221001031,26093722100,260937221001,2800,26093,2
201,260937107001007,26093710700,260937107001,2800,26093,2
202,260937201001005,26093720100,260937201001,2800,26093,2
203,260937225001002,26093722500,260937225001,2800,26093,2
204,260937225001027,26093722500,260937225001,2800,26093,2
205,260937221002018,26093722100,260937221002,2800,26093,2
206,260937240023024,26093724002,260937240023,2800,26093,2
207,260937131002009,26093713100,260937131002,2800,26093,2
208,260937240011003,26093724001,260937240011,2800,26093,2
209,260937240011004,26093724001,260937240011,2800,26093,2
210,260937240011005,26093724001,260937240011,2800,26093,2
211,260937201001011,26093720100,260937201001,2800,26093,2
212,260937225001031,26093722500,260937225001,2800,26093,2
213,260937225001038,26093722500,260937225001,2800,26093,2
214,260937225001041,26093722500,260937225001,2800,26093,2
215,260937225001053,26093722500,260937225001,2800,26093,2
216,260937225001051,26093722500,260937225001,2800,26093,2
217,260937240011010,26093724001,260937240011,2800,26093,2
218,260937240023004,26093724002,260937240023,2800,26093,2
219,260937403001001,26093740300,260937403001,2800,26093,2
220,260937406002007,26093740600,260937406002,2800,26093,2
221,260937131003020,26093713100,260937131003,2800,26093,2
222,260937446001018,26093744600,260937446001,2800,26093,2
223,260937408003007,26093740800,260937408003,2800,26093,2
224,260937103002014,26093710300,260937103002,2800,26093,2
225,260937446001000,26093744600,260937446001,2800,26093,2
226,260937137003009,26093713700,260937137003,2800,26093,2
227,260937223002013,26093722300,260937223002,2800,26093,2
