,TRACTID,BLKGRPID,PUMA,COUNTYID,REGION
0,26093710100,260937101003,02800,26093,2
1,26093710300,260937103003,02800,26093,2
2,26093711000,260937110001,02800,26093,2
3,26093722100,260937221002,02800,26093,2
4,26093713500,260937135002,02800,26093,2
5,26093713700,260937137003,02800,26093,2
6,26093721100,260937211001,02800,26093,2
7,26093722500,260937225001,02800,26093,2
8,26093724002,260937240021,02800,26093,2
9,26093724003,260937240031,02800,26093,2
10,26093725000,260937250003,02800,26093,2
11,26093725000,260937250006,02800,26093,2
12,26093725101,260937251013,02800,26093,2
13,26093730102,260937301021,02800,26093,2
14,26093730600,260937306002,02800,26093,2
15,26093731100,260937311002,02800,26093,2
16,26093732100,260937321002,02800,26093,2
17,26093733603,260937336031,02800,26093,2
18,26093740800,260937408003,02800,26093,2
19,26093741100,260937411001,02800,26093,2
20,26093741601,260937416011,02800,26093,2
21,26093741602,260937416022,02800,26093,2
22,26093742201,260937422012,02800,26093,2
23,26093742202,260937422022,02800,26093,2
24,26093742403,260937424033,02800,26093,2
25,26093742500,260937425002,02800,26093,2
26,26093742900,260937429001,02800,26093,2
27,26093743300,260937433001,02800,26093,2
28,26093743400,260937434002,02800,26093,2
29,26093743600,260937436001,02800,26093,2
30,26093743700,260937437002,02800,26093,2
31,26093743800,260937438003,02800,26093,2
32,26093743900,260937439003,02800,26093,2
33,26093710100,260937101001,02800,26093,2
34,26093710100,260937101002,02800,26093,2
35,26093710300,260937103001,02800,26093,2
36,26093710300,260937103002,02800,26093,2
37,26093710500,260937105001,02800,26093,2
38,26093710700,260937107001,02800,26093,2
39,26093711000,260937110002,02800,26093,2
40,26093712101,260937121011,02800,26093,2
41,26093712101,260937121012,02800,26093,2
42,26093712102,260937121021,02800,26093,2
43,26093712102,260937121022,02800,26093,2
44,26093712601,260937126011,02800,26093,2
45,26093712601,260937126012,02800,26093,2
46,26093712601,260937126013,02800,26093,2
47,26093712602,260937126021,02800,26093,2
48,26093712602,260937126022,02800,26093,2
49,26093713100,260937131001,02800,26093,2
50,26093713500,260937135001,02800,26093,2
51,26093713100,260937131002,02800,26093,2
52,26093713100,260937131003,02800,26093,2
53,26093713300,260937133001,02800,26093,2
54,26093713700,260937137001,02800,26093,2
55,26093713700,260937137002,02800,26093,2
56,26093720100,260937201001,02800,26093,2
57,26093720100,260937201002,02800,26093,2
58,26093721100,260937211002,02800,26093,2
59,26093722100,260937221001,02800,26093,2
60,26093722300,260937223001,02800,26093,2
61,26093722300,260937223002,02800,26093,2
62,26093724001,260937240011,02800,26093,2
63,26093724001,260937240012,02800,26093,2
64,26093724002,260937240022,02800,26093,2
65,26093724002,260937240023,02800,26093,2
66,26093725000,260937250001,02800,26093,2
67,26093725000,260937250002,02800,26093,2
68,26093725000,260937250004,02800,26093,2
69,26093725000,260937250005,02800,26093,2
70,26093725101,260937251011,02800,26093,2
71,26093725101,260937251012,02800,26093,2
72,26093730101,260937301011,02800,26093,2
73,26093730101,260937301012,02800,26093,2
74,26093730102,260937301022,02800,26093,2
75,26093730600,260937306001,02800,26093,2
76,26093730600,260937306003,02800,26093,2
77,26093731100,260937311001,02800,26093,2
