,GEOID10,BLKGRPID,TRACTID,STATEFP,COUNTYFP,TRACTCE,PUMA,REGION
649,261251620002,261251620002,26125162000,26,125,162000,2907,4
658,261251262002,261251262002,26125126200,26,125,126200,2901,4
659,261251264001,261251264001,26125126400,26,125,126400,2901,4
660,261251750002,261251750002,26125175000,26,125,175000,2908,4
661,261251417003,261251417003,26125141700,26,125,141700,2904,4
662,261251240001,261251240001,26125124000,26,125,124000,2901,4
728,261251540002,261251540002,26125154000,26,125,154000,2906,4
729,261251752004,261251752004,26125175200,26,125,175200,2908,4
730,261251605003,261251605003,26125160500,26,125,160500,2907,4
750,261251444001,261251444001,26125144400,26,125,144400,2904,4
751,261251562004,261251562004,26125156200,26,125,156200,2906,4
752,261251366001,261251366001,26125136600,26,125,136600,2905,4
753,261251710004,261251710004,26125171000,26,125,171000,2908,4
754,261251363001,261251363001,26125136300,26,125,136300,2905,4
755,261251608001,261251608001,26125160800,26,125,160800,2907,4
791,261251711003,261251711003,26125171100,26,125,171100,2908,4
793,261251979002,261251979002,26125197900,26,125,197900,2903,4
794,261251371001,261251371001,26125137100,26,125,137100,2905,4
795,261251453002,261251453002,26125145300,26,125,145300,2904,4
796,261251454004,261251454004,26125145400,26,125,145400,2904,4
797,261251561001,261251561001,26125156100,26,125,156100,2906,4
798,261251325001,261251325001,26125132500,26,125,132500,2901,4
799,261251327001,261251327001,26125132700,26,125,132700,2901,4
800,261251574001,261251574001,26125157400,26,125,157400,2906,4
801,261251831001,261251831001,26125183100,26,125,183100,2908,4
802,261251348002,261251348002,26125134800,26,125,134800,2905,4
803,261251964003,261251964003,26125196400,26,125,196400,2903,4
829,261251730001,261251730001,26125173000,26,125,173000,2908,4
830,261251501001,261251501001,26125150100,26,125,150100,2906,4
831,261251751001,261251751001,26125175100,26,125,175100,2908,4
845,261251973003,261251973003,26125197300,26,125,197300,2903,4
846,261251619002,261251619002,26125161900,26,125,161900,2907,4
878,261251392003,261251392003,26125139200,26,125,139200,2901,4
882,261251542001,261251542001,26125154200,26,125,154200,2906,4
883,261251931001,261251931001,26125193100,26,125,193100,2903,4
884,261251408002,261251408002,26125140800,26,125,140800,2904,4
885,261251813001,261251813001,26125181300,26,125,181300,2908,4
886,261251679001,261251679001,26125167900,26,125,167900,2907,4
887,261251345001,261251345001,26125134500,26,125,134500,2905,4
888,261251347002,261251347002,26125134700,26,125,134700,2905,4
889,261251347001,261251347001,26125134700,26,125,134700,2905,4
890,261251392002,261251392002,26125139200,26,125,139200,2901,4
891,261251224004,261251224004,26125122400,26,125,122400,2902,4
892,261251452003,261251452003,26125145200,26,125,145200,2904,4
893,261251610002,261251610002,26125161000,26,125,161000,2907,4
894,261251614003,261251614003,26125161400,26,125,161400,2907,4
902,261251222002,261251222002,26125122200,26,125,122200,2902,4
903,261251224001,261251224001,26125122400,26,125,122400,2902,4
904,261251203001,261251203001,26125120300,26,125,120300,2902,4
905,261251273001,261251273001,26125127300,26,125,127300,2902,4
906,261251965003,261251965003,26125196500,26,125,196500,2903,4
