,GEOID10,BLKGRPID,TRACTID,TRACT,BLKGRP,STATEFP,COUNTYFP,TRACTCE,PUMA,REGION
0,261635647002,261635647002,26163564700,564700,2,26,163,564700,3201,4
1,261635032001,261635032001,26163503200,503200,1,26,163,503200,3210,4
2,261635020002,261635020002,26163502000,502000,2,26,163,502000,3211,4
3,261635807001,261635807001,26163580700,580700,1,26,163,580700,3207,4
4,261635342003,261635342003,26163534200,534200,3,26,163,534200,3208,4
5,261635337001,261635337001,26163533700,533700,1,26,163,533700,3212,4
6,261635334005,261635334005,26163533400,533400,5,26,163,533400,3212,4
7,261635334001,261635334001,26163533400,533400,1,26,163,533400,3212,4
8,261635248001,261635248001,26163524800,524800,1,26,163,524800,3212,4
9,261635044003,261635044003,26163504400,504400,3,26,163,504400,3210,4
10,261635041002,261635041002,26163504100,504100,2,26,163,504100,3210,4
11,261635776003,261635776003,26163577600,577600,3,26,163,577600,3207,4
12,261635770001,261635770001,26163577000,577000,1,26,163,577000,3207,4
13,261635512004,261635512004,26163551200,551200,4,26,163,551200,3213,4
14,261635512002,261635512002,26163551200,551200,2,26,163,551200,3213,4
15,261635509001,261635509001,26163550900,550900,1,26,163,550900,3213,4
16,261635256001,261635256001,26163525600,525600,1,26,163,525600,3212,4
17,261635816001,261635816001,26163581600,581600,1,26,163,581600,3206,4
18,261635812001,261635812001,26163581200,581200,1,26,163,581200,3206,4
19,261635579003,261635579003,26163557900,557900,3,26,163,557900,3202,4
20,261635640002,261635640002,26163564000,564000,2,26,163,564000,3201,4
21,261635991001,261635991001,26163599100,599100,1,26,163,599100,3206,4
22,261635342005,261635342005,26163534200,534200,5,26,163,534200,3208,4
23,261635185002,261635185002,26163518500,518500,2,26,163,518500,3213,4
24,261635173002,261635173002,26163517300,517300,2,26,163,517300,3211,4
25,261635145002,261635145002,26163514500,514500,2,26,163,514500,3211,4
26,261635153003,261635153003,26163515300,515300,3,26,163,515300,3211,4
27,261635081005,261635081005,26163508100,508100,5,26,163,508100,3210,4
28,261635081002,261635081002,26163508100,508100,2,26,163,508100,3210,4
29,261635074001,261635074001,26163507400,507400,1,26,163,507400,3210,4
30,261635841002,261635841002,26163584100,584100,2,26,163,584100,3205,4
31,261635409001,261635409001,26163540900,540900,1,26,163,540900,3208,4
32,261635715001,261635715001,26163571500,571500,1,26,163,571500,3203,4
33,261635008002,261635008002,26163500800,500800,2,26,163,500800,3213,4
34,261635006004,261635006004,26163500600,500600,4,26,163,500600,3210,4
35,261635006003,261635006003,26163500600,500600,3,26,163,500600,3210,4
36,261635005003,261635005003,26163500500,500500,3,26,163,500500,3210,4
37,261635004002,261635004002,26163500400,500400,2,26,163,500400,3210,4
38,261635303002,261635303002,26163530300,530300,2,26,163,530300,3209,4
39,261635262001,261635262001,26163526200,526200,1,26,163,526200,3212,4
40,261635042004,261635042004,26163504200,504200,4,26,163,504200,3210,4
41,261635107001,261635107001,26163510700,510700,1,26,163,510700,3210,4
42,261635264002,261635264002,26163526400,526400,2,26,163,526400,3212,4
43,261635503002,261635503002,26163550300,550300,2,26,163,550300,3213,4
44,261635507006,261635507006,26163550700,550700,6,26,163,550700,3213,4
45,261635580004,261635580004,26163558000,558000,4,26,163,558000,3202,4
46,261635684003,261635684003,26163568400,568400,3,26,163,568400,3204,4
47,261635055002,261635055002,26163505500,505500,2,26,163,505500,3210,4
48,261635036003,261635036003,26163503600,503600,3,26,163,503600,3210,4
49,261635796002,261635796002,26163579600,579600,2,26,163,579600,3207,4
50,261635770003,261635770003,26163577000,577000,3,26,163,577000,3207,4
51,261635809004,261635809004,26163580900,580900,4,26,163,580900,3207,4
52,261635512005,261635512005,26163551200,551200,5,26,163,551200,3213,4
53,261635856001,261635856001,26163585600,585600,1,26,163,585600,3205,4
54,261635581003,261635581003,26163558100,558100,3,26,163,558100,3202,4
55,261635771004,261635771004,26163577100,577100,4,26,163,577100,3207,4
56,261635518001,261635518001,26163551800,551800,1,26,163,551800,3213,4
57,261635517001,261635517001,26163551700,551700,1,26,163,551700,3213,4
58,261635318003,261635318003,26163531800,531800,3,26,163,531800,3212,4
59,261635775004,261635775004,26163577500,577500,4,26,163,577500,3207,4
60,261635639001,261635639001,26163563900,563900,1,26,163,563900,3201,4
61,261635679001,261635679001,26163567900,567900,1,26,163,567900,3204,4
62,261635568001,261635568001,26163556800,556800,1,26,163,556800,3202,4
63,261635069005,261635069005,26163506900,506900,5,26,163,506900,3210,4
64,261635141003,261635141003,26163514100,514100,3,26,163,514100,3211,4
65,261635104003,261635104003,26163510400,510400,3,26,163,510400,3210,4
66,261635079004,261635079004,26163507900,507900,4,26,163,507900,3210,4
67,261635079002,261635079002,26163507900,507900,2,26,163,507900,3210,4
68,261635687001,261635687001,26163568700,568700,1,26,163,568700,3204,4
69,261635638002,261635638002,26163563800,563800,2,26,163,563800,3201,4
70,261635740003,261635740003,26163574000,574000,3,26,163,574000,3203,4
71,261635555002,261635555002,26163555500,555500,2,26,163,555500,3202,4
72,261635461003,261635461003,26163546100,546100,3,26,163,546100,3208,4
73,261635460004,261635460004,26163546000,546000,4,26,163,546000,3208,4
74,261635460002,261635460002,26163546000,546000,2,26,163,546000,3208,4
75,261635301004,261635301004,26163530100,530100,4,26,163,530100,3209,4
76,261635262002,261635262002,26163526200,526200,2,26,163,526200,3212,4
77,261635546004,261635546004,26163554600,554600,4,26,163,554600,3202,4
78,261635548003,261635548003,26163554800,554800,3,26,163,554800,3202,4
79,261639852001,261639852001,26163985200,985200,1,26,163,985200,3211,4
80,261635688002,261635688002,26163568800,568800,2,26,163,568800,3204,4
81,261635214001,261635214001,26163521400,521400,1,26,163,521400,3211,4
82,261635696001,261635696001,26163569600,569600,1,26,163,569600,3204,4
83,261635666001,261635666001,26163566600,566600,1,26,163,566600,3204,4
84,261635412001,261635412001,26163541200,541200,1,26,163,541200,3208,4
85,261635410001,261635410001,26163541000,541000,1,26,163,541000,3208,4
86,261635409003,261635409003,26163540900,540900,3,26,163,540900,3208,4
87,261635407001,261635407001,26163540700,540700,1,26,163,540700,3208,4
88,261635007004,261635007004,26163500700,500700,4,26,163,500700,3210,4
89,261635652003,261635652003,26163565200,565200,3,26,163,565200,3204,4
90,261635411002,261635411002,26163541100,541100,2,26,163,541100,3208,4
91,261635409004,261635409004,26163540900,540900,4,26,163,540900,3208,4
92,261635778001,261635778001,26163577800,577800,1,26,163,577800,3207,4
93,261635951001,261635951001,26163595100,595100,1,26,163,595100,3206,4
94,261635633001,261635633001,26163563300,563300,1,26,163,563300,3201,4
95,261635575004,261635575004,26163557500,557500,4,26,163,557500,3202,4
