STATEFP,COUNTYFP,TRACT10,PUMA00
26,125,160500,02506
26,125,168700,02506
26,125,161400,02506
26,125,160400,02506
26,125,160800,02506
26,125,160900,02506
26,125,161000,02506
26,125,161100,02506
26,125,161300,02506
26,125,160600,02506
26,125,160700,02506
26,125,161200,02506
26,125,161900,02506
26,125,161600,02506
26,125,167900,02506
26,125,162300,02506
26,125,161500,02506
26,125,161700,02506
26,125,161800,02506
26,125,162000,02506
26,125,162100,02506
26,125,162200,02506
26,125,160300,02506
26,125,166000,02506
26,125,166100,02506
26,125,166200,02506
26,125,168100,02506
26,125,166700,02506
26,125,165100,02506
26,125,160000,02506
26,125,162500,02506
26,125,162400,02506
26,125,165200,02506
26,125,168800,02506
26,125,166400,02506
26,125,168600,02506
26,125,168900,02506
26,125,166500,02506
26,125,166600,02506
26,125,166800,02506
26,125,167800,02506
26,125,167000,02506
26,125,168400,02506
26,125,167300,02506
26,125,165000,02506
26,125,166900,02506
26,125,168500,02506
26,125,167400,02506
26,125,167500,02506
26,125,192500,02504
26,125,193500,02504
26,125,196500,02504
26,125,197400,02504
26,125,191200,02504
26,125,191300,02504
26,125,194500,02504
26,125,197200,02504
26,125,193300,02504
26,125,198100,02504
26,125,197000,02504
26,125,196100,02504
26,125,196600,02504
26,125,196200,02504
26,125,196300,02504
26,125,196400,02504
26,125,196700,02504
26,125,193100,02504
26,125,197701,02504
26,125,191000,02504
26,125,191100,02504
26,125,193400,02504
26,125,197900,02504
26,125,192400,02504
26,125,193600,02504
26,125,198000,02504
26,125,197300,02504
26,125,197500,02504
26,125,197600,02504
26,125,196000,02504
26,125,194400,02504
26,125,194000,02504
26,125,194200,02504
26,125,196800,02504
26,125,196900,02504
26,125,197100,02504
26,125,193700,02504
26,125,194600,02504
26,125,194300,02504
26,125,194100,02504
26,125,192000,02504
26,125,193000,02504
26,125,192200,02504
26,125,192700,02504
26,125,197702,02504
26,093,713300,03400
26,093,743700,03400
26,093,725100,03400
26,093,743400,03400
26,093,741602,03400
26,093,743600,03400
26,093,710700,03400
26,093,710500,03400
26,093,710100,03400
26,093,733100,03400
26,093,732100,03400
26,093,742700,03400
26,093,742401,03400
26,093,740900,03400
26,093,730600,03400
26,093,724002,03400
26,093,730101,03400
26,093,733601,03400
26,093,742202,03400
26,093,712602,03400
26,093,733602,03400
26,093,730102,03400
26,093,740200,03400
26,093,740300,03400
26,093,740600,03400
26,093,721100,03400
26,093,744600,03400
26,093,744200,03400
26,093,724001,03400
26,093,744800,03400
26,093,744900,03400
26,093,743300,03400
26,093,743500,03400
26,093,720100,03400
26,093,711000,03400
26,093,740700,03400
26,093,722500,03400
26,093,741100,03400
26,093,712601,03400
26,093,712101,03400
26,093,724003,03400
26,093,742402,03400
26,093,742201,03400
26,093,741601,03400
26,093,712102,03400
26,093,742500,03400
26,093,742900,03400
26,093,743900,03400
26,093,743800,03400
26,093,722100,03400
26,093,710300,03400
26,093,744700,03400
26,093,740800,03400
26,093,744400,03400
26,093,722300,03400
26,093,731100,03400
26,093,713100,03400
26,093,713700,03400
26,093,713500,03400
26,093,740500,03400
26,093,725000,03400
26,099,251600,04101
26,099,251200,04101
26,099,251700,04101
26,099,268000,04101
26,099,268100,04101
26,099,258000,04101
26,099,258300,04101
26,099,258700,04101
26,099,258900,04101
