STATEFP,COUNTYFP,TRACTCE,PUMACE10
26,125,168901,02907
26,125,168602,02907
26,125,161500,02907
26,125,161600,02907
26,125,161700,02907
26,125,161800,02907
26,125,161900,02907
26,125,162000,02907
26,125,162100,02907
26,125,162200,02907
26,125,162300,02907
26,125,162500,02907
26,125,165000,02907
26,125,165100,02907
26,125,165200,02907
26,125,166000,02907
26,125,166100,02907
26,125,166200,02907
26,125,166400,02907
26,125,166500,02907
26,125,166600,02907
26,125,166700,02907
26,125,166800,02907
26,125,166900,02907
26,125,167000,02907
26,125,167300,02907
26,125,167400,02907
26,125,167500,02907
26,125,168100,02907
26,125,168800,02907
26,125,168400,02907
26,125,168500,02907
26,125,168700,02907
26,125,168902,02907
26,125,168601,02907
26,125,160300,02907
26,125,160400,02907
26,125,160500,02907
26,125,160600,02907
26,125,160700,02907
26,125,160900,02907
26,125,167800,02907
26,125,167900,02907
26,125,160000,02907
26,125,162400,02907
26,125,161200,02907
26,125,161300,02907
26,125,161400,02907
26,125,160800,02907
26,125,161000,02907
26,125,161100,02907
26,161,446200,02701
26,161,420200,02701
26,161,421100,02701
26,161,445000,02701
26,161,461000,02701
26,161,466000,02701
26,161,447000,02701
26,161,454002,02701
26,161,465002,02701
26,161,426002,02701
26,161,422202,02701
26,161,454001,02701
26,161,426001,02701
26,161,980600,02701
26,161,465001,02701
26,161,980300,02701
26,161,422201,02701
26,161,455000,02701
26,161,446400,02701
26,161,420000,02701
26,161,423400,02701
26,161,423600,02701
26,161,425000,02701
26,161,431000,02701
26,161,432000,02701
26,161,444000,02701
26,161,464000,02701
26,161,448000,02701
26,161,453000,02701
26,161,456000,02701
26,161,403800,02702
26,161,404500,02702
26,161,405100,02702
26,161,405200,02702
26,161,404100,02702
26,161,405300,02702
26,161,980400,02702
26,161,402201,02702
26,161,402601,02702
26,161,404200,02702
26,161,404300,02702
26,161,404400,02702
26,161,404600,02702
26,161,400300,02702
26,161,400400,02702
26,161,400500,02702
26,161,400600,02702
26,161,400700,02702
26,161,400800,02702
26,161,402100,02702
26,161,402300,02702
26,161,402500,02702
26,161,402700,02702
26,161,403100,02702
26,161,403200,02702
26,161,403300,02702
26,161,403400,02702
26,161,403500,02702
26,161,403600,02702
26,161,405400,02702
26,161,405500,02702
26,161,400100,02702
26,161,405600,02702
26,161,980101,02702
26,161,980102,02702
26,161,413401,02703
26,161,410500,02703
26,161,414300,02703
26,161,407600,02703
26,161,414700,02703
26,161,414900,02703
26,161,415200,02703
26,161,415400,02703
26,161,980500,02703
26,161,980200,02703
26,161,414000,02703
26,161,406000,02703
26,161,416000,02703
26,161,411900,02703
26,161,413402,02703
26,161,413403,02703
26,161,984000,02703
26,161,412000,02703
26,161,410100,02703
26,161,415600,02703
26,161,415800,02703
26,161,407000,02703
26,161,407400,02703
26,161,410200,02703
26,161,410300,02703
26,161,410400,02703
26,161,416200,02703
26,161,410600,02703
26,161,410800,02703
26,161,410700,02703
26,161,410900,02703
26,161,411000,02703
26,161,411200,02703
26,161,411700,02703
26,161,412100,02703
26,161,412300,02703
26,161,412600,02703
26,161,412700,02703
26,161,413000,02703
26,161,413200,02703
26,161,414200,02703
26,161,414500,02703
26,093,744400,02800
26,093,722300,02800
26,093,740800,02800
26,093,740200,02800
26,093,742700,02800
26,093,713300,02800
26,093,743400,02800
26,093,742201,02800
26,093,741602,02800
26,093,741601,02800
26,093,712102,02800
26,093,710100,02800
26,093,710300,02800
26,093,710500,02800
26,093,710700,02800
26,093,711000,02800
26,093,740300,02800
26,093,740500,02800
26,093,740600,02800
26,093,741100,02800
26,093,740700,02800
26,093,740900,02800
26,093,744800,02800
26,093,744900,02800
26,093,713500,02800
26,093,713700,02800
26,093,713100,02800
26,093,720100,02800
26,093,724002,02800
26,093,730101,02800
26,093,730102,02800
26,093,742403,02800
26,093,733604,02800
26,093,725101,02800
26,093,733603,02800
26,093,712601,02800
26,093,712101,02800
26,093,724003,02800
26,093,712602,02800
26,093,724001,02800
26,093,743300,02800
26,093,743500,02800
26,093,742900,02800
26,093,730600,02800
26,093,743600,02800
26,093,743700,02800
26,093,743800,02800
26,093,743900,02800
26,093,742202,02800
26,093,721100,02800
26,093,722500,02800
26,093,725000,02800
26,093,722100,02800
26,093,742500,02800
26,093,744700,02800
26,093,731100,02800
26,093,732100,02800
26,093,744200,02800
26,093,744600,02800
26,093,733100,02800
26,125,139202,02901
26,125,139201,02901
26,125,126400,02901
26,125,981000,02901
26,125,138301,02901
26,125,130100,02901
26,125,132600,02901
26,125,132100,02901
26,125,130000,02901
26,125,124000,02901
26,125,125000,02901
26,125,130200,02901
26,125,130400,02901
26,125,130500,02901
26,125,138100,02901
26,125,132700,02901
26,125,130600,02901
26,125,130700,02901
26,125,131100,02901
26,125,131300,02901
26,125,131600,02901
26,125,131500,02901
26,125,131800,02901
26,125,131400,02901
26,125,132500,02901
26,125,138600,02901
26,125,139400,02901
26,125,123000,02901
26,125,123100,02901
26,125,124500,02901
26,125,125600,02901
26,125,126200,02901
26,125,126300,02901
26,125,126500,02901
26,125,130300,02901
26,125,138302,02901
26,125,190200,02902
26,125,190400,02902
26,125,190500,02902
26,125,190700,02902
26,125,190800,02902
26,125,127200,02902
26,125,127300,02902
26,125,127400,02902
26,125,127100,02902
26,125,127500,02902
26,125,127700,02902
26,125,128000,02902
26,125,128200,02902
26,125,120000,02902
26,125,128300,02902
26,125,128400,02902
26,125,128500,02902
26,125,128600,02902
26,125,128700,02902
26,125,121700,02902
26,125,121000,02902
26,125,128800,02902
26,125,128900,02902
26,125,129000,02902
26,125,121800,02902
26,125,128100,02902
26,125,127600,02902
26,125,120300,02902
26,125,121400,02902
26,125,121500,02902
26,125,122200,02902
26,125,122400,02902
26,125,122700,02902
26,125,122900,02902
26,125,127000,02902
26,125,191300,02903
26,125,192000,02903
26,125,192200,02903
26,125,192400,02903
26,125,193000,02903
26,125,193100,02903
26,125,193400,02903
26,125,193500,02903
26,125,193600,02903
26,125,193700,02903
26,125,194000,02903
26,125,194100,02903
26,125,194200,02903
26,125,194300,02903
26,125,194400,02903
