GEOID10,COUNTY,SUBTYPECD,SAN00,STUDYAREA,CLUSTER,CITY_ID
26163500100,163,3,6,Burbank,2,506
26163500200,163,3,6,Burbank,2,506
26163500300,163,3,6,Burbank,2,506
26163500400,163,3,6,Burbank,2,506
26163500500,163,3,6,Burbank,2,506
26163500600,163,3,6,Burbank,2,506
26163500700,163,3,17,Denby,2,517
26163500800,163,3,17,Denby,2,517
26163500900,163,3,17,Denby,2,517
26163501000,163,3,17,Denby,2,517
26163501100,163,3,17,Denby,2,517
26163501200,163,3,17,Denby,2,517
26163501300,163,3,21,Finney,3,521
26163501400,163,3,21,Finney,3,521
26163501500,163,3,21,Finney,3,521
26163501600,163,3,21,Finney,3,521
26163501700,163,3,21,Finney,3,521
26163501800,163,3,21,Finney,3,521
26163501900,163,3,21,Finney,3,521
26163502000,163,3,21,Finney,3,521
26163503100,163,3,37,Mt. Olivet,2,537
26163503200,163,3,37,Mt. Olivet,2,537
26163503300,163,3,37,Mt. Olivet,2,537
26163503400,163,3,37,Mt. Olivet,2,537
26163503500,163,3,37,Mt. Olivet,2,537
26163503600,163,3,37,Mt. Olivet,2,537
26163503900,163,3,14,Conner,2,514
26163504000,163,3,14,Conner,2,514
26163504100,163,3,14,Conner,2,514
26163504200,163,3,14,Conner,2,514
26163504300,163,3,14,Conner,2,514
26163504400,163,3,14,Conner,2,514
26163504700,163,3,1,Airport,1,501
26163504800,163,3,1,Airport,1,501
26163504900,163,3,37,Mt. Olivet,2,537
26163505000,163,3,37,Mt. Olivet,2,537
26163505100,163,3,23,Grant,1,523
26163505200,163,3,14,Conner,2,514
26163505400,163,3,14,Conner,2,514
26163505500,163,3,1,Airport,1,501
26163506100,163,3,23,Grant,1,523
26163506200,163,3,23,Grant,1,523
26163506300,163,3,23,Grant,1,523
26163506400,163,3,16,Davison,1,516
26163506500,163,3,42,Pershing,1,542
26163506600,163,3,42,Pershing,1,542
26163506700,163,3,42,Pershing,1,542
26163506800,163,3,42,Pershing,1,542
26163506900,163,3,42,Pershing,1,542
26163507000,163,3,42,Pershing,1,542
26163507100,163,3,39,Nolan,1,539
26163507200,163,3,39,Nolan,1,539
26163507300,163,3,39,Nolan,1,539
26163507400,163,3,39,Nolan,1,539
26163507500,163,3,39,Nolan,1,539
26163507800,163,3,49,State Fair,1,549
26163507900,163,3,49,State Fair,1,549
26163508000,163,3,49,State Fair,1,549
26163508100,163,3,39,Nolan,1,539
26163510400,163,3,16,Davison,1,516
26163510500,163,3,16,Davison,1,516
26163510600,163,3,16,Davison,1,516
26163510700,163,3,1,Airport,1,501
26163511000,163,3,1,Airport,1,501
26163511200,163,3,36,Middle Woodward,4,536
26163511300,163,3,16,Davison,1,516
26163511400,163,3,36,Middle Woodward,4,536
26163511900,163,3,36,Middle Woodward,4,536
26163512100,163,3,11,Chandler Park,3,511
26163512200,163,3,11,Chandler Park,3,511
26163512300,163,3,11,Chandler Park,3,511
26163512400,163,3,11,Chandler Park,3,511
26163512600,163,3,28,Mack,3,528
26163512900,163,3,28,Mack,3,528
26163513200,163,3,19,East Riverside,3,519
26163513300,163,3,19,East Riverside,3,519
26163513600,163,3,22,Foch,3,522
26163513700,163,3,19,East Riverside,3,519
26163513900,163,3,22,Foch,3,522
26163514100,163,3,48,St. Jean,3,548
26163514200,163,3,30,Kettering,3,530
26163514300,163,3,48,St. Jean,3,548
26163514500,163,3,30,Kettering,3,530
26163515200,163,3,7,Butzel,3,507
26163515300,163,3,7,Butzel,3,507
26163515400,163,3,27,Indian Village,3,527
26163515600,163,3,22,Foch,3,522
26163515700,163,3,27,Indian Village,3,527
26163515900,163,3,30,Kettering,3,530
26163516000,163,3,30,Kettering,3,530
26163516100,163,3,30,Kettering,3,530
26163516200,163,3,30,Kettering,3,530
26163516300,163,3,7,Butzel,3,507
26163516400,163,3,7,Butzel,3,507
26163516500,163,3,38,East Riverfront,4,538
26163516600,163,3,31,McDougall-Hunt,4,531
26163516700,163,3,31,McDougall-Hunt,4,531
26163516800,163,3,31,McDougall-Hunt,4,531
26163516900,163,3,31,McDougall-Hunt,4,531
26163517000,163,3,31,McDougall-Hunt,4,531
26163517100,163,3,31,McDougall-Hunt,4,531
26163517200,163,3,8,Central Business District,4,508
26163517300,163,3,32,University,4,532
26163517500,163,3,32,University,4,532
26163518000,163,3,32,University,4,532
26163518400,163,3,35,Chene,4,535
26163518500,163,3,35,Chene,4,535
26163518600,163,3,35,Chene,4,535
26163518800,163,3,35,Chene,4,535
26163518900,163,3,35,Chene,4,535
26163520200,163,3,32,University,4,532
26163520300,163,3,32,University,4,532
26163520400,163,3,32,University,4,532
26163520700,163,3,8,Central Business District,4,508
26163520800,163,3,8,Central Business District,4,508
26163521100,163,3,26,Hubbard Richard,5,526
26163521300,163,3,13,Condon,5,513
26163521400,163,3,15,Corktown,4,515
26163521500,163,3,29,Jeffries,4,529
26163521800,163,3,29,Jeffries,4,529
26163521900,163,3,29,Jeffries,4,529
26163522000,163,3,29,Jeffries,4,529
26163522100,163,3,13,Condon,5,513
26163522200,163,3,50,Tireman,6,550
26163522300,163,3,44,Rosa Parks,6,544
26163522400,163,3,44,Rosa Parks,6,544
26163522500,163,3,32,University,4,532
26163523100,163,3,52,Vernor/Junction,5,552
26163523200,163,3,52,Vernor/Junction,5,552
26163523300,163,3,52,Vernor/Junction,5,552
26163523400,163,3,52,Vernor/Junction,5,552
26163523800,163,3,52,Vernor/Junction,5,552
26163524000,163,3,47,Springwells,5,547
26163524100,163,3,47,Springwells,5,547
26163524200,163,3,47,Springwells,5,547
26163524300,163,3,47,Springwells,5,547
26163524500,163,3,3,Boynton,5,503
26163524700,163,3,3,Boynton,5,503
26163524800,163,3,3,Boynton,5,503
26163524900,163,3,53,West Riverfront,5,553
26163525000,163,3,53,West Riverfront,5,553
26163525400,163,3,13,Condon,5,513
26163525500,163,3,13,Condon,5,513
26163525600,163,3,13,Condon,5,513
26163525700,163,3,10,Chadsey,5,510
26163525800,163,3,10,Chadsey,5,510
26163526000,163,3,10,Chadsey,5,510
26163526100,163,3,10,Chadsey,5,510
26163526200,163,3,10,Chadsey,5,510
26163526300,163,3,10,Chadsey,5,510
26163526400,163,3,10,Chadsey,5,510
26163526500,163,3,50,Tireman,6,550
26163527200,163,3,50,Tireman,6,550
26163527300,163,3,50,Tireman,6,550
26163530100,163,3,34,McNichols,10,534
26163530200,163,3,34,McNichols,10,534
26163530300,163,3,34,McNichols,10,534
26163530400,163,3,54,Winterhalter,6,554
26163530500,163,3,54,Winterhalter,6,554
26163530800,163,3,54,Winterhalter,6,554
26163530900,163,3,54,Winterhalter,6,554
26163531100,163,3,18,Durfee,6,518
26163531200,163,3,18,Durfee,6,518
26163531300,163,3,18,Durfee,6,518
26163531400,163,3,18,Durfee,6,518
26163531500,163,3,18,Durfee,6,518
26163531600,163,3,18,Durfee,6,518
26163531700,163,3,18,Durfee,6,518
26163531800,163,3,18,Durfee,6,518
26163531900,163,3,18,Durfee,6,518
26163532200,163,3,36,Middle Woodward,4,536
26163532300,163,3,36,Middle Woodward,4,536
26163532400,163,3,36,Middle Woodward,4,536
26163532600,163,3,44,Rosa Parks,6,544
26163532700,163,3,44,Rosa Parks,6,544
26163533000,163,3,44,Rosa Parks,6,544
26163533100,163,3,44,Rosa Parks,6,544
26163533200,163,3,44,Rosa Parks,6,544
26163533300,163,3,44,Rosa Parks,6,544
26163533400,163,3,44,Rosa Parks,6,544
26163533500,163,3,50,Tireman,6,550
26163533600,163,3,50,Tireman,6,550
26163533700,163,3,50,Tireman,6,550
26163533900,163,3,36,Middle Woodward,4,536
26163534100,163,3,54,Winterhalter,6,554
26163534200,163,3,33,Mackenzie,7,533
26163534300,163,3,33,Mackenzie,7,533
26163534400,163,3,33,Mackenzie,7,533
26163534500,163,3,50,Tireman,6,550
26163534600,163,3,50,Tireman,6,550
26163534700,163,3,33,Mackenzie,7,533
26163535000,163,3,33,Mackenzie,7,533
26163535100,163,3,33,Mackenzie,7,533
26163535200,163,3,33,Mackenzie,7,533
26163535300,163,3,5,Brooks,7,505
26163535400,163,3,5,Brooks,7,505
26163535500,163,3,5,Brooks,7,505
26163535600,163,3,33,Mackenzie,7,533
26163535700,163,3,33,Mackenzie,7,533
26163536100,163,3,25,Harmony Village,9,525
26163536200,163,3,25,Harmony Village,9,525
26163536300,163,3,25,Harmony Village,9,525
26163536400,163,3,25,Harmony Village,9,525
26163536500,163,3,54,Winterhalter,6,554
26163536600,163,3,33,Mackenzie,7,533
26163536700,163,3,25,Harmony Village,9,525
26163536800,163,3,25,Harmony Village,9,525
26163536900,163,3,25,Harmony Village,9,525
26163537000,163,3,25,Harmony Village,9,525
26163537100,163,3,25,Harmony Village,9,525
26163537200,163,3,33,Mackenzie,7,533
26163537300,163,3,9,Cerveny/Grandmont,9,509
26163537500,163,3,9,Cerveny/Grandmont,9,509
26163537600,163,3,9,Cerveny/Grandmont,9,509
26163537700,163,3,9,Cerveny/Grandmont,9,509
26163537800,163,3,9,Cerveny/Grandmont,9,509
26163538100,163,3,40,Palmer Park,10,540
26163538200,163,3,40,Palmer Park,10,540
26163538300,163,3,40,Palmer Park,10,540
26163538400,163,3,40,Palmer Park,10,540
26163538500,163,3,2,Bagley,10,502
26163538600,163,3,2,Bagley,10,502
26163538700,163,3,2,Bagley,10,502
26163538800,163,3,41,Pembroke,10,541
26163538900,163,3,41,Pembroke,10,541
26163539000,163,3,41,Pembroke,10,541
26163539100,163,3,41,Pembroke,10,541
26163539200,163,3,41,Pembroke,10,541
26163539300,163,3,41,Pembroke,10,541
26163539400,163,3,2,Bagley,10,502
26163539500,163,3,24,Greenfield,9,524
26163539600,163,3,24,Greenfield,9,524
26163539700,163,3,24,Greenfield,9,524
26163540100,163,3,24,Greenfield,9,524
26163540200,163,3,24,Greenfield,9,524
26163540300,163,3,24,Greenfield,9,524
26163540400,163,3,24,Greenfield,9,524
26163540500,163,3,20,Evergreen,8,520
26163540600,163,3,20,Evergreen,8,520
26163540700,163,3,20,Evergreen,8,520
26163540800,163,3,20,Evergreen,8,520
26163540900,163,3,20,Evergreen,8,520
26163541000,163,3,20,Evergreen,8,520
26163541100,163,3,20,Evergreen,8,520
26163541200,163,3,20,Evergreen,8,520
26163541300,163,3,43,Redford,8,543
26163541400,163,3,43,Redford,8,543
26163541500,163,3,43,Redford,8,543
26163541700,163,3,43,Redford,8,543
26163541800,163,3,43,Redford,8,543
26163542100,163,3,9,Cerveny/Grandmont,9,509
26163542200,163,3,9,Cerveny/Grandmont,9,509
26163542300,163,3,9,Cerveny/Grandmont,9,509
26163542400,163,3,9,Cerveny/Grandmont,9,509
26163542500,163,3,9,Cerveny/Grandmont,9,509
26163542600,163,3,9,Cerveny/Grandmont,9,509
26163542700,163,3,4,Brightmoor,8,504
26163542800,163,3,45,Rosedale,8,545
26163542900,163,3,45,Rosedale,8,545
26163543000,163,3,45,Rosedale,8,545
26163543100,163,3,45,Rosedale,8,545
26163543200,163,3,45,Rosedale,8,545
26163543400,163,3,45,Rosedale,8,545
26163543500,163,3,4,Brightmoor,8,504
26163543600,163,3,4,Brightmoor,8,504
26163543700,163,3,4,Brightmoor,8,504
26163543800,163,3,4,Brightmoor,8,504
26163543900,163,3,4,Brightmoor,8,504
26163544000,163,3,4,Brightmoor,8,504
26163544100,163,3,4,Brightmoor,8,504
26163544200,163,3,43,Redford,8,543
26163544300,163,3,43,Redford,8,543
26163545100,163,3,5,Brooks,7,505
26163545200,163,3,5,Brooks,7,505
26163545300,163,3,5,Brooks,7,505
26163545400,163,3,5,Brooks,7,505
26163545500,163,3,5,Brooks,7,505
26163545600,163,3,5,Brooks,7,505
26163545700,163,3,46,Rouge,7,546
26163545800,163,3,46,Rouge,7,546
26163545900,163,3,46,Rouge,7,546
26163546000,163,3,46,Rouge,7,546
26163546100,163,3,46,Rouge,7,546
26163546200,163,3,46,Rouge,7,546
26163546300,163,3,12,Cody,7,512
26163546400,163,3,12,Cody,7,512
26163546500,163,3,12,Cody,7,512
26163546600,163,3,12,Cody,7,512
26163546700,163,3,12,Cody,7,512
26163546800,163,3,12,Cody,7,512
26163546900,163,3,12,Cody,7,512
26163985000,163,3,50,Tireman,6,550
