geography,id,hhcars0_control,hhcars1_control,hhcars2_control,hhcars3_control,hhpersons1_control,hhpersons2_control,hhpersons3_control,hhpersons4_control,hhpersons5_control,hhpersons6_control,hhpersons7_control,hhpersons8_control,hhpersons9_control,hhpersons10_control,hhchildren0_control,hhchildren1_control,hhchildren2_control,hhchildren3_control,hhincome0_control,hhincome26153_control,hhincome54517_control,hhincome98123_control,hhworkers0_control,hhworkers1_control,hhworkers2_control,hhworkers3_control,hhage_of_head5_control,hhage_of_head18_control,hhage_of_head25_control,hhage_of_head35_control,hhage_of_head65_control,hhrace_id1_control,hhrace_id2_control,hhrace_id3_control,hhrace_id4_control,num_hh_control,age0_control,age18_control,age25_control,age65_control,sex1_control,sex2_control,race_id1_control,race_id2_control,race_id3_control,race_id4_control,hhcars0_result,hhcars1_result,hhcars2_result,hhcars3_result,hhpersons1_result,hhpersons2_result,hhpersons3_result,hhpersons4_result,hhpersons5_result,hhpersons6_result,hhpersons7_result,hhpersons8_result,hhpersons9_result,hhpersons10_result,hhchildren0_result,hhchildren1_result,hhchildren2_result,hhchildren3_result,hhincome0_result,hhincome26153_result,hhincome54517_result,hhincome98123_result,hhworkers0_result,hhworkers1_result,hhworkers2_result,hhworkers3_result,hhage_of_head5_result,hhage_of_head18_result,hhage_of_head25_result,hhage_of_head35_result,hhage_of_head65_result,hhrace_id1_result,hhrace_id2_result,hhrace_id3_result,hhrace_id4_result,num_hh_result,age0_result,age18_result,age25_result,age65_result,sex1_result,sex2_result,race_id1_result,race_id2_result,race_id3_result,race_id4_result,hhcars0_diff,hhcars1_diff,hhcars2_diff,hhcars3_diff,hhpersons1_diff,hhpersons2_diff,hhpersons3_diff,hhpersons4_diff,hhpersons5_diff,hhpersons6_diff,hhpersons7_diff,hhpersons8_diff,hhpersons9_diff,hhpersons10_diff,hhchildren0_diff,hhchildren1_diff,hhchildren2_diff,hhchildren3_diff,hhincome0_diff,hhincome26153_diff,hhincome54517_diff,hhincome98123_diff,hhworkers0_diff,hhworkers1_diff,hhworkers2_diff,hhworkers3_diff,hhage_of_head5_diff,hhage_of_head18_diff,hhage_of_head25_diff,hhage_of_head35_diff,hhage_of_head65_diff,hhrace_id1_diff,hhrace_id2_diff,hhrace_id3_diff,hhrace_id4_diff,num_hh_diff,age0_diff,age18_diff,age25_diff,age65_diff,sex1_diff,sex2_diff,race_id1_diff,race_id2_diff,race_id3_diff,race_id4_diff
TAZ,947,162,716,512,178,624,439,141,217,83,60,1,1,1,1,1164,169,158,77,630,567,294,77,604,629,280,55,0,55,218,708,587,1028,314,88,138,1568,738,285,1790,790,1668,1935,2258,711,274,360,162,715,512,179,623,440,139,218,83,61,1,1,1,1,1166,168,157,77,629,565,296,78,603,629,281,55,0,55,218,708,587,1029,314,87,138,1568,748,286,1788,788,1672,1938,2265,713,273,359,0,-1,0,1,-1,1,-2,1,0,1,0,0,0,0,2,-1,-1,0,-1,-2,2,1,-1,0,1,0,0,0,0,0,0,1,0,-1,0,0,10,1,-2,-2,4,3,7,2,-1,-1
TAZ,948,110,648,561,233,480,544,210,183,76,35,20,1,2,1,1134,202,150,66,492,466,402,192,517,624,332,79,0,48,200,729,575,1076,263,83,130,1552,719,271,1844,864,1765,1933,2391,668,273,366,110,650,560,232,481,544,210,183,75,35,20,1,2,1,1139,200,148,65,492,467,401,192,517,625,331,79,0,48,200,729,575,1075,263,84,130,1552,730,270,1836,859,1762,1933,2387,668,273,367,0,2,-1,-1,1,0,0,0,-1,0,0,0,0,0,5,-2,-2,-1,0,1,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,11,-1,-8,-5,-3,0,-4,0,0,1
TAZ,949,116,597,270,104,644,207,80,98,30,10,13,4,1,0,884,78,90,35,527,355,147,58,514,415,131,27,0,30,136,472,449,729,221,47,90,1087,375,115,991,551,936,1096,1302,414,123,193,116,598,269,104,645,206,79,98,31,10,13,4,1,0,886,77,89,35,528,355,146,58,514,415,131,27,0,30,137,471,449,730,220,47,90,1087,383,115,986,549,936,1097,1299,417,123,194,0,1,-1,0,1,-1,-1,0,1,0,0,0,0,0,2,-1,-1,0,1,0,-1,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,8,0,-5,-2,0,1,-3,3,0,1
TAZ,950,119,510,215,64,598,168,43,43,29,10,9,5,1,2,789,48,40,31,394,332,114,68,393,394,97,24,2,30,107,360,409,634,186,32,56,908,254,97,737,484,687,885,1060,325,73,114,119,509,214,66,599,168,43,42,29,10,9,5,1,2,790,48,39,31,394,331,113,70,393,393,97,25,2,30,106,360,410,635,187,31,55,908,251,99,736,486,689,883,1059,328,73,112,0,-1,-1,2,1,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,-1,-1,2,0,-1,0,1,0,0,-1,0,1,1,1,-1,-1,0,-3,2,-1,2,2,-2,-1,3,0,-2
TAZ,951,182,702,537,178,595,446,242,258,57,0,1,0,0,0,1172,232,152,43,756,471,258,114,600,621,314,64,1,62,235,730,571,1035,314,89,161,1599,667,262,1824,784,1612,1925,2170,696,243,428,182,701,537,179,595,446,242,258,57,0,1,0,0,0,1173,231,152,43,755,469,261,114,600,620,314,65,1,62,234,729,573,1034,315,89,161,1599,668,263,1821,785,1615,1922,2165,700,242,430,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-2,3,0,0,-1,0,1,0,0,-1,-1,2,-1,1,0,0,0,1,1,-3,1,3,-3,-5,4,-1,2
TAZ,952,59,439,366,177,420,270,238,62,29,3,15,3,0,1,831,140,43,27,170,345,322,204,305,456,226,54,0,18,146,517,360,733,174,40,94,1041,322,172,1355,375,1057,1167,1509,358,106,251,59,439,367,176,418,271,240,61,29,3,15,3,0,1,834,138,42,27,171,346,321,203,305,457,226,53,0,19,150,533,339,734,173,40,94,1041,328,171,1321,407,1060,1167,1512,362,104,249,0,0,1,-1,-2,1,2,-1,0,0,0,0,0,0,3,-2,-1,0,1,1,-1,-1,0,1,0,-1,0,1,4,16,-21,1,-1,0,0,0,6,-1,-34,32,3,0,3,4,-2,-2
TAZ,953,78,379,389,145,304,336,226,76,39,8,2,0,0,0,766,151,58,16,267,310,244,170,310,397,236,48,0,28,147,484,332,667,191,44,89,991,318,176,1383,338,1055,1160,1440,426,118,231,78,379,387,147,304,337,225,75,39,8,3,0,0,0,769,149,57,16,267,310,244,170,310,397,236,48,0,29,150,499,313,667,190,44,90,991,316,176,1356,369,1058,1159,1439,424,119,235,0,0,-2,2,0,1,-1,-1,0,0,1,0,0,0,3,-2,-1,0,0,0,0,0,0,0,0,0,0,1,3,15,-19,0,-1,0,1,0,-2,0,-27,31,3,-1,-1,-2,1,4
TAZ,954,97,681,485,196,679,502,126,132,17,2,1,0,0,0,1287,106,60,6,343,413,424,279,500,609,293,57,0,38,191,671,559,1025,241,53,140,1459,245,182,1689,577,1252,1441,1816,453,110,314,96,681,486,196,678,502,127,132,17,2,1,0,0,0,1288,106,60,5,343,414,423,279,501,608,294,56,0,39,196,682,542,1025,242,53,139,1459,241,182,1669,603,1251,1444,1821,449,114,311,-1,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,1,-1,0,1,-1,1,-1,0,1,5,11,-17,0,1,0,-1,0,-4,0,-20,26,-1,3,5,-4,4,-3
TAZ,955,107,728,551,254,677,445,115,278,81,34,8,1,0,1,1283,163,150,44,462,500,409,269,520,702,320,98,0,42,255,788,555,1129,280,65,166,1640,612,316,2194,585,1762,1945,2441,603,207,456,107,728,550,255,676,445,115,279,81,34,8,1,0,1,1286,162,149,43,462,500,409,269,520,704,319,97,0,43,261,806,530,1131,277,65,167,1640,617,316,2155,623,1763,1948,2437,608,209,457,0,0,-1,1,-1,0,0,1,0,0,0,0,0,0,3,-1,-1,-1,0,0,0,0,0,2,-1,-1,0,1,6,18,-25,2,-3,0,1,0,5,0,-39,38,1,3,-4,5,2,1
TAZ,956,101,577,485,234,495,421,117,216,31,102,10,3,1,1,1075,143,121,58,341,419,356,281,443,532,317,105,0,26,176,709,486,948,251,58,140,1397,586,288,2044,514,1667,1765,2175,673,189,395,101,578,484,234,494,423,117,217,31,101,10,3,0,1,1078,143,120,56,341,419,356,281,443,533,317,104,0,27,179,723,468,947,252,58,140,1397,589,287,2008,541,1667,1758,2173,669,188,395,0,1,-1,0,-1,2,0,1,0,-1,0,0,-1,0,3,0,-1,-2,0,0,0,0,0,1,0,-1,0,1,3,14,-18,-1,1,0,0,0,3,-1,-36,27,0,-7,-2,-4,-1,0
